urlDrugName;rating;effectiveness;sideEffects;condition
diazepam;8;4;3;airplane flight anxiety
zmax;10;4;4;cold / flu
nasonex;10;3;4;allergies
hydrochlorothiazide;6;3;3;high blood pressure
tramadol;3;4;1;pain relief (glenohumeral instability correction)
niacor;10;4;3;hypercholesterolemia w/ low ldl
zomig;9;3;2;migraines-hormonal
ortho-tri-cyclen;10;4;4;birth control
fosamax-plus-d;10;4;4;osteoporosis
effexor;9;4;3;depression
cymbalta;4;2;2;depression
noroxin;1;4;0;prostatitis
neurontin;9;3;4;sleep disorder
adipex-p;9;3;3;overweight, self confidence
meridia;10;4;3;overeating, weight gain
prozac;9;4;2;depression
hytrin;10;4;4;high blood presure
asacol;3;1;2;ulcerative colitis
alendronate;3;1;2;bone density tests showed early osteo.
synthroid;8;2;3;hypothyroidism
lamotrigine;10;4;3;bipolar 2-extreme moods swings
zoloft;8;3;4;depression
imodium;8;3;4;diarrhea
premarin;10;4;4;hormone replacement
lamisil;5;3;4;yeast
flonase;8;4;3;nasal polyps
botox;10;4;4;aging
prinivil;1;2;1;high blood pressure
chantix;9;3;3;smoking
tazorac;9;3;3;acne, photoaging
botox;10;4;3;migraines
albuterol;8;4;3;asthma
enbrel;9;4;4;ankylosing spondylitis
neurontin;9;4;2;spinal injury
sarafem;10;4;3;depression
levoxyl;4;1;1;hypothyroidism
singulair;1;3;1;asthma - repeated chest infections
dilaudid;1;4;0;headaches
flexeril;9;4;2;headaches
seroquel;9;4;3;insomnia
xanax;8;4;2;sleeping aid
klonopin;1;0;1;panic disorder
prinivil;7;3;3;high blood pressure
sarafem;8;4;3;depression
effexor-xr;7;3;1;depression
effexor;10;4;4;recurrent depression
malarone;5;4;2;anti malarial
tobramycin;9;4;4;pink eye
tetracycline;2;2;2;acne
ecotrin;10;3;4;headache
claritin;2;1;2;seasonal allergies
tramadol;3;2;2;inflamation at the femoral nerve
chantix;1;3;2;quit smoking
spironolactone;8;3;3;m to f transformation
minocycline;8;4;3;acne
avodart;7;3;3;hair loss
effexor-xr;8;3;2;anxiety and depression
remicade;10;4;1;ulcerative colitis
retin-a;4;2;2;flat warts
cialis;9;3;3;ed
evista;9;3;4;ostheoporosis prevention
yasmin;10;4;3;cramps, birth control
accutane;9;4;2;acne
seroquel;6;2;1;ptsd, bi-polar, anxiety
zithromax;10;4;4;cystic fibrosis
angeliq;9;3;4;menopausal symptoms - hot flashes, sleep disturban
elavil;9;4;3;neck pain
effexor-xr;8;3;2;depression
nasonex;10;4;3;sinus problems
yasmin;1;4;0;"controceptive; help with pmsd"
coumadin;9;4;3;dvt
lamisil;1;1;4;toenail fungus
vagifem;1;4;1;vaginal dryness and urinary tract infections
biaxin;1;0;1;inner ear infection
valtrex;9;3;3;cold sores
ortho-tri-cyclen-lo;9;4;3;contraception
voltaren;9;4;3;arthritis
diclofenac;9;3;4;muscular pain - arm
accutane;5;4;0;cystic acne
albuterol;8;3;4;asthma
minocycline;3;1;1;acne
hydrochlorothiazide;9;2;4;fluid retention increased bp
actonel;6;2;3;loss of bone mass
wellbutrin-xl;9;4;2;depression
armour-thyroid;8;2;4;hypothyroid
depo-provera;10;4;2;pregnancy prevention
sotret;8;4;2;acne
elocon;10;4;4;eczema
flexeril;7;2;3;muscle stiffness
atenolol;9;3;3;supra ventricular tachycardia
diclofenac;9;4;4;mild arthritis in knees
ambien;8;4;3;insomnia
chantix;8;4;1;quit smoking
synthroid;10;4;4;hypothyroidism
diclofenac;2;2;2;knee pain/inflamation
accutane;9;4;3;acne
differin;7;2;3;acne
ultram;1;4;3;headaches
soma;2;0;2;broken ribs
doxycycline;8;4;3;acne
effexor;1;0;0;depression
keflex;1;1;1;severe upper respitory tract infection
zocor;1;0;0;high cholesterol
singulair;10;4;4;asthma
prozac;8;4;3;anxiety, hopelessness
differin;7;2;4;acne
aromasin;8;4;2;eostrogen-positive breast cancer
premarin;1;2;0;hrt hysterectomy
accutane;9;4;2;acne
topamax;6;2;3;migraine prevention
vyvanse;9;4;2;refractory depression
seasonale;7;3;3;birth control
lortab;7;2;2;sever back pain,
acyclovir;10;4;4;cold sore
metformin;10;4;4;diabetese
augmentin;10;4;4;subungal hematoma
metrogel;7;2;4;rosacea
norvasc;6;3;2;hypertension
tri-luma;3;0;1;melasma
estrasorb;10;4;4;menopause
clonazepam;8;4;2;anxiety
topamax;10;3;3;migraine prevention
zyban;4;4;1;smoking
elavil;9;3;3;sleep
ortho-tri-cyclen;7;4;3;prevent pregnancy
valium;9;3;3;anxiety
wellbutrin-sr;10;4;3;bi-polar
actonel;1;0;0;prevent osteoporose
nuvaring;9;4;3;prevent pregnancy
topamax;7;3;2;migraines
chantix;10;4;3;smoking cessation
metronidazole;1;1;0;diarrhea
citalopram;10;4;3;anxiety, panic attack
propecia;7;4;2;thinning hair
botox;1;4;1;forehead frown lines
zyrtec-d;9;4;3;allergies
lunesta;9;4;2;sleeping problems
symbicort;2;2;1;asthma/copd
keppra;8;3;3;seizure disorder
tussionex;8;3;3;respiratory infection
concerta;9;3;3;add
retin-a-micro;8;3;2;acne - blackheads and acne scars
qvar;10;4;4;asthma
flexeril;8;3;2;muscle spasms (upper back/neck)
climara;10;4;4;perimenopause
humira;5;3;1;ra, sj�gren syndrome
tri-luma;1;0;0;melasma
proquin-xr;3;3;2;pneumonia
adipex-p;9;4;3;overweight
imitrex;10;4;4;migraines
prempro;6;3;2;menopausal symptoms, especially night sweats
adderall;10;4;3;add
prozac;7;3;4;depression
lipitor;4;1;1;high c
effexor;8;3;3;depression
nolvadex;3;4;1;breast cancer
levora;7;4;2;contraception
plendil;9;2;3;hypertention
ultram;5;2;2;back pain
naprosyn;8;2;4;arthritis
tazorac;9;4;2;age spots on hand
cymbalta;1;0;0;depression pain
halcion;3;0;4;insomnia
effexor-xr;3;1;1;depression
sumatriptan;9;4;3;migraine
ranitidine;9;4;4;gastro esophageal reflux disease (gerd)
nexium;10;4;4;gerd (gastroesophogeal reflux disease)
cleocin;2;3;0;infection in mandible
ativan;5;4;3;inability to fall asleep
sonata;8;4;4;insomnia
aldactone;10;4;3;acne
acyclovir;10;3;3;cold sores
nortriptyline;9;4;3;severe depression
cialis;10;4;3;erectile dysfunction
miralax;8;3;4;irritable bowel syndrome
clarinex;9;4;4;allergy induced asthma
augmentin;4;3;1;sinusitis
citalopram;10;4;3;depression
effexor-xr;7;2;3;depression
ambien;4;3;1;sleeplessness
lamictal;8;2;3;bi-polar
lipitor;7;3;2;high cholesterol
topamax;9;3;3;appetite control
albuterol;10;4;4;bronchitis
doxycycline;5;3;1;std clamydia
wellbutrin-xl;10;4;3;anti-depressant
wellbutrin;8;3;3;depression
acyclovir;9;4;3;cold sores/fever blisters
minoxidil;9;4;3;hair loss
retin-a;7;2;1;hyperpigmentation
neurontin;1;0;1;genitofemoral nerve damage
sotret;10;4;2;acne
evoclin;5;2;4;acne
retin-a;8;3;2;skin correction
zegerid;1;4;0;acid reflux, gerd
sulfasalazine;8;3;3;inflammatory arthritis
nolvadex;5;4;2;breast cancer
klaron;10;4;4;acne
accutane;10;4;3;acne
levoxyl;10;4;4;low thyroid production
avage;8;4;3;to achieve a smoother skin surface
sarafem;3;0;2;anxiety
remicade;4;4;1;rhuematoid arthritis
prevacid;7;3;4;heart burn
propecia;7;2;3;male pattern baldness
byetta;8;4;3;type 2 diabetes
retin-a-micro;10;4;2;sun damage to face
panixine-disperdose;10;4;4;skin infection
ultracet;10;4;4;fibromyalgia
minocycline;3;1;3;acne
advair-hfa;7;2;4;asthma
levoxyl;1;0;0;hypothyroidism
doxycycline;9;4;3;cat bite
chantix;1;3;1;smoking cessation
metrogel;8;3;4;roseasa
lexapro;5;2;1;depression
vytorin;10;4;4;cholesterol
asacol;1;0;0;ulcerative colitis
pristiq;10;4;4;add & anxiety
effexor;7;2;2;depression
flexeril;8;3;3;tension in jaw and bruxism (grinding of teeth)
sular;10;4;4;high blood pressure
effexor-xr;2;4;2;depression, axiety
ambien;9;4;4;insomnia
citalopram;8;3;1;anxiety, ocd
amoxil;5;1;4;tonsilitis
differin;9;3;2;acne
panixine-disperdose;10;4;3;skin infection
doryx;6;3;2;acne
buspar;9;4;3;gad - generalised anxiety disorder.
fosamax;10;4;4;osteopenia
chantix;7;3;0;quitting smoking
ativan;6;4;1;anxiety
avage;9;3;3;wrinkles
mevacor;2;1;0;originally brain lesions then lower cholesterol
seroquel;1;1;0;insomnia
risperdal;1;0;0;schizophrenia
effexor;10;4;3;anxiety/depression
dextrostat;10;4;3;add
nexium;10;4;3;gerd/barret's esophogus
zomig;4;2;1;migraine
triaz;7;2;3;acne
wellbutrin-sr;9;4;3;depression
lyrica;6;4;2;fibromyalgia
vicodin;10;4;4;post surgery stomach pain
strattera;3;1;2;adult add
celexa;8;4;2;depression
climara;10;4;4;surgical menopause
diazepam;5;4;2;mood swings, felt by- polar
neurontin;5;4;1;degenerative disc disorder, spinal stenosis l1-s1
fosamax;9;3;3;osteoporsis
zoloft;9;4;4;depression
lorazepam;8;3;4;mild sedative
voltaren;3;3;1;tooth pain, root canal procedure
elavil;9;4;3;tension headaches
estratest;10;4;4;extreme hot flashes
tazorac;5;2;3;acne
pentasa;10;4;4;crohn's disease
toradol;3;3;2;pain relief after surgery
proquin-xr;1;4;0;u/i
zyrtec;3;2;2;sinusitis
seasonique;8;3;0;prevention of pregnancy/lighter periods
amoxil;2;0;2;ear infection
naproxen;3;1;1;shoulder pain
clarinex;3;1;4;allergies
avita;6;2;4;wrinkles
vaniqa;8;3;4;facial
clonazepam;5;3;3;agoraphobia, panic disorder
elavil;10;4;3;chronic headaches
metrogel;4;3;3;rosacea
lipitor;8;4;2;high cholesterol
renova;5;2;2;prevent aging, improve skin
citalopram;1;0;2;mood
oxycodone;8;3;2;pain - chronic panceatitis
estratest;10;4;4;menopause - hrt
allegra;6;2;4;allergy
singulair;10;4;4;allergies
femring;1;4;0;hysterectomy
prozac;1;0;0;severe anxiety
provigil;8;4;3;fatigue
estrace;5;4;1;hysterectomy/menopause
levoxyl;1;1;2;hypothyroidism
premarin;10;4;4;hysterectomy
provigil;9;4;3;narcolepsy
doxycycline;7;4;2;acne
valtrex;9;4;2;cold sore on side of face
abilify;3;1;1;bipolar disorder
oracea;4;3;1;mild acne
tramadol;9;3;4;pain
provigil;7;3;3;low energy
effexor;8;4;2;anxiety and depression
zithromax;10;4;4;ear infection
lamictal;7;2;3;depression
nexium;10;4;4;gerd
retin-a;10;4;3;skin aging
metformin;10;4;1;pcos
augmentin;3;2;4;tonsilitis
strattera;10;4;4;add
fexofenadine;10;3;4;allergies
avita;7;3;2;rhytids
tramadol;10;3;4;back pain/depression
prednisone;9;3;3;chest infection (viral)
clindamycin;3;3;1;throat infection
provigil;9;3;3;add
synthroid;1;0;4;after birth thyroid not working to mormal levelc
lexapro;9;4;3;depression
levoxyl;10;4;4;hypothyroidism
noroxin;10;4;4;urinary tract infection
vyvanse;8;3;2;adult adhd
nexium;10;3;4;acid reflux
augmentin;3;0;1;excessive coughing, later diagnosed as pneumonia
glucophage;8;3;4;diabetes
retin-a-micro;4;2;2;acne
neurontin;1;0;1;all over and various type pain
methotrexate;6;2;2;rheumatoid arthritis
paxil;9;3;4;depression
retin-a;10;4;1;extrinsic aging
paxil;10;4;4;panic attacks, depression
meridia;7;3;2;obesity
lexapro;9;4;3;depression and anxiety
lamictal;2;2;1;depression
chantix;10;4;3;smoking cessation
byetta;10;4;3;diabetes
zegerid;8;3;4;acid reflux
desyrel;7;3;2;depression
erythromycin;7;2;1;acne on my back
propecia;8;3;3;hair lose
keflex;1;4;1;tooth infection
maxalt;9;4;3;headaches
valtrex;9;3;4;cold sores
voltaren;2;0;3;chronic back pain
klonopin;8;3;3;anxiety
wellbutrin-xl;8;3;3;depression
neurontin;8;3;4;restless leg syndrome
nuvaring;5;4;2;birth control
ambien;9;4;4;insomnia
darvocet-n;6;2;3;pain
lorazepam;9;4;3;sleep problems
fexofenadine;8;3;4;seasonal allergy
lamictal;9;4;3;bipolar ii
tramadol;9;4;3;abdominal pain
paxil;10;4;3;depression and anxiety
zyprexa;1;0;2;bipolar disorder type ii
propecia;1;1;0;hair loss
baclofen;9;4;2;alcohol addiction
concerta;5;2;3;adhd
frova;8;4;3;migraine headache
ditropan;1;2;1;hyperhidrosis
wellbutrin;7;2;3;depression
tenormin;8;1;3;hypertension
remicade;5;2;1;colitis
trazodone;10;4;4;insomnia
prevacid;9;4;4;gerd/acid reflux
paxil;10;4;3;depression
ultram;9;4;3;tempromandibular joint dysfunction (tmj)
wellbutrin-xl;10;3;3;depression
allegra-d;8;3;3;allergies
tri-luma;5;1;3;hyperpigmentation
metformin;9;4;3;metabolic disorder
panixine-disperdose;9;2;2;sinus infection
flonase;10;4;4;allergies
tenormin;10;4;4;high blood pressure
ambien;10;4;4;insomnia
naltrexone;10;4;4;crohn's
prinivil;2;4;2;high blood pressure
coumadin;5;4;3;blood clots
claritin;8;4;1;irritated and sore throat,nose,eyes and sneezing.
ambien;3;2;1;insomnia
zegerid;6;3;2;reflux
symbyax;2;0;1;depression
xyrem;9;4;2;narcolepsy
lamictal;10;4;3;bipolar disorder
ketoconazole;8;3;3;ringworm/pityriasis
nexium;9;4;4;acid reflux
levoxyl;10;4;4;hypothyroidism
selegiline;8;3;3;cognitive enhancement
nexium;8;3;4;gerd
cosopt;9;3;3;high interoccular pressure
zovirax;7;3;2;herpes
retin-a;8;4;3;acne and sun damage
arava;9;4;3;rheumatoid arthritis
lamisil;8;4;2;toenail fungus
tamiflu;1;1;1;i was in a risk group - frontline pharmacist
differin;5;1;2;acne
celexa;1;0;1;depression
strattera;3;1;1;adhd
protopic;1;0;0;undiagnosed
yasmin;3;0;2;birth control
actos;7;3;4;diabetes
enbrel;9;4;2;psoriatic arthritis
vicodin;9;4;2;post -surgery
zyrtec-d;5;3;2;hay fever
lexapro;8;3;2;anxiety/depression
citalopram;8;3;3;depression
zovirax;8;4;4;severe cold sores
seroquel;9;4;3;bipolar disorder
methotrexate;9;4;3;rhumitoid arthritis
citalopram;10;4;3;depression
methotrexate;7;4;2;psoriasis
nuvigil;10;4;4;cocaine dependency
paxil;1;2;3;depression
macrobid;1;0;0;bladder infection
prednisone;9;4;4;nasal polyps
lunesta;8;3;3;insomnia
prozac;10;4;3;depression
minocycline;7;4;4;adult acne
wellbutrin-sr;9;4;3;depression
prilosec;4;1;2;heartburn/gerd
elavil;10;4;3;chronic headaches
ampicillin;7;3;4;acne
adipex-p;10;4;3;to lose 30 pounds
ultram;8;3;3;budging disk in neck
adderall;7;4;2;add
claripel-cream;7;3;4;pigmentation
zoloft;8;3;4;head injuries
cipro;9;4;4;urinary tract infection
xenical;8;4;3;contraception
pravachol;10;4;4;ldl cholesterol
prednisone;10;4;2;relapsing remitting ms, possible neuro sarcoidosis
imitrex;8;4;2;daily migraines 2-3 times a day
proscar;4;2;3;hair loss
lexapro;7;3;4;anxiety
spironolactone;8;3;2;acne
lamictal;10;4;3;epilepsy
albuterol;2;1;4;chronic bronch/asthma
celebrex;8;3;4;pain
zyrtec;8;3;2;severe allergies
atarax;10;4;4;itching/psosiasis
vyvanse;6;4;1;adhd (attention deficit hyperactive disorder)
tenormin;9;4;4;atrial frbulation
topamax;7;3;3;migraines
nuvaring;1;2;0;birth control
claritin;1;0;4;allergies sneezing , watery runny nose
lumigan;10;4;3;glucoma
lamisil;1;0;1;fungal toenails
seasonique;9;4;2;birth control
isoniazid;7;4;4;tuberculosis
lyrica;5;3;2;pain in my legs
crestor;10;4;4;high colesteral
amoxil;8;4;1;a boil
levoxyl;10;4;3;hypothyroid
mirena;3;4;1;birth control
xanax-xr;8;4;3;anxiety rapid onset
yasmin;9;3;3;cure for acne
omnitrope;7;2;4;hgh deficiency & hiv
differin;8;3;3;acne
protopic;1;0;2;vaginal eczema
zovirax;10;4;4;allergies
prevacid;5;1;1;acid reflex
prometrium;4;1;3;perimenopause symptoms
depo-provera;5;4;1;birth control
percocet;10;4;4;pain
xanax;10;4;4;anxiety/trouble sleeping
topamax;10;4;3;epilepsy
effexor;7;2;3;depression
paxil;2;0;1;depression
seasonique;9;4;3;prevent menstral migranes
ambien-cr;10;4;4;can't sleep
cataflam;10;4;4;lower back pain
niaspan;8;3;3;cholesterol problems
baclofen;9;3;2;muscle pain and stiffness due to fibromyalgia
nitrofurantoin;5;3;1;uti
synthroid;10;4;4;hypothyroid
ultram;8;3;3;neck pain
tri-luma;3;2;0;melasma
albuterol;7;4;3;asthma
synthroid;6;2;4;hypothyroidism
copaxone;9;4;3;mulitple sclerosis
seroquel;9;4;1;bipolar disorder
lamisil;1;0;1;toenail fungus
chantix;10;4;4;smoking
xanax;10;4;4;panic disorder
aricept;4;2;1;memory
augmentin;5;3;1;cat bite infection
differin;10;4;3;acne
sonata;10;4;4;wakefulness -- difficulty falling back asleep
restoril;7;3;3;sleeplessness
armour-thyroid;9;4;4;hypothyroidism
nasacort;8;3;4;perennial rhinitis
ortho-tri-cyclen;9;4;3;birth control
celebrex;8;3;3;arthritis
prometrium;10;4;4;menopause
prempro;10;4;4;menopause
metrogel;10;4;4;acne rosacea
aygestin;9;4;4;progesterone balance
diovan;5;3;2;hypertension
avelox;9;3;4;sinus infection
provigil;7;3;3;narcalepsy
retin-a-micro;5;2;4;clearing skin
duac;3;1;3;acne
zyrtec;3;3;0;sinus infections/constant mucus & post nasal drip
cymbalta;7;3;3;depression
pentasa;10;2;4;ulcerative colitis
cymbalta;8;4;2;depression
wellbutrin;7;2;3;depression-anxiety
prozac;10;4;4;depression
amoxil;7;4;2;throat infection
renova;9;3;3;aging skin
prozac;10;4;3;depression
voltaren;10;4;4;severe knee pain
spironolactone;10;4;3;acne
spironolactone;6;2;2;hypertension
lipitor;2;2;2;cholesterol
efudex;8;4;2;sun damage removal
prednisolone;1;0;0;tendinatis
zmax;6;2;3;bronchitis
wellbutrin;10;4;4;depression
differin;8;3;3;acne
metformin;8;3;3;diabetes type 2
citalopram;8;3;2;major depressive disorder/ anxiety
nexium;2;3;2;acid reflux
retin-a;8;2;3;whiteheads
wellbutrin;3;3;2;stop smoking
byetta;1;1;1;obesity and diabetes
zovirax;10;4;4;skin warts on elbow
wellbutrin;1;0;0;anxety / depression
advair-diskus;4;1;2;asthma
cefzil;8;3;3;ear infection
wellbutrin;1;0;0;depression
lunesta;7;3;3;minor insomnia
prozac;8;2;3;depression
retin-a;8;3;3;acne/wrinkles
ortho-tri-cyclen;10;4;3;birthcontrol
retin-a;8;4;2;"initially, acne; later, anti-wrinkle"
protonix;10;4;3;gerd
seroquel;1;4;2;mood stabilizer taken w/ prozac
zmax;1;3;1;strep throat
desyrel;3;1;1;insomnia, headaches
premarin;10;4;4;hysterectomy
lamictal;10;4;4;ptsd
flovent;10;4;4;asthma
vasotec;7;3;4;high blood pressure
renova;7;2;3;acne
effexor-xr;10;4;4;depression
warfarin;6;3;2;heart condition
flexeril;7;2;2;chronic musculoskeletal pain (neck/back)
lunesta;9;3;4;poor sleep with frequent wakefulness
claritin;7;2;4;allergy
armour-thyroid;10;4;4;hypothyroidism
morphine;10;3;4;post surgery extreme pain
seroquel;4;4;1;sleep aid
fosamax;1;1;1;loss of bone density in spine
rifadin;8;3;4;mrsa abcess
lybrel;1;0;2;no more period
nexium;10;4;4;acid reflux
claritin;8;4;3;allergy
ultram;10;4;2;post cosmetic surgery complications
provigil;10;4;3;shift disorder
zyrtec;9;4;3;allergies
humira;7;2;4;crohn's disease
albuterol;7;4;3;asthma
paxil;1;3;1;depression
dispermox;8;4;2;jaw abscess
premarin-vaginal;9;4;4;vaginal dryness
neurontin;6;2;2;chronic pain (neck and migraines)
doryx;9;4;3;adult acne
renova;4;2;2;wrinkles
advair-hfa;9;3;4;constant coughing due to mucous
lyrica;10;4;3;fibromyalgia
mirtazapine;6;0;2;anxiety/insomnia
cozaar;8;3;3;blood pressure
accutane;5;4;1;cystic acne
ortho-tri-cyclen-lo;8;4;3;birth control
valtrex;10;4;3;coldsores
doxycycline;8;3;4;rosacea
effexor;9;4;2;depression/ cfs
vyvanse;9;4;3;add
levoxyl;10;3;4;thyroid
acyclovir;7;4;4;shingles
augmentin;5;3;1;cat bite infection
chantix;10;4;2;smoking cessation
levaquin;8;4;3;sinus infections
cipro;8;4;2;pneumonia
desyrel;10;4;2;fibromyalgia
oxycodone-and-acetaminophen;7;2;2;neck and back pain
celebrex;7;2;4;anti-inflammatory/pain
doxycycline;6;2;2;infected throat and lung
synthroid;10;4;4;hashimoto's hypothyroidism
doxycycline;8;3;2;acne and perioral dermatitis
proscar;7;3;2;hairloss
differin;9;3;4;acne
asmanex;10;4;4;asthma
propecia;8;3;3;hair loss
zyrtec;10;4;3;itching
zovirax;7;2;4;cold sore, fever blister
elidel;6;1;3;eczema
prozac;7;3;3;depression
claripel-cream;9;4;4;hyperpigmatation
nexium;7;3;3;gerd
proquin-xr;10;4;4;urinary tract infrection
amoxil;9;4;2;chest infection
flexeril;7;3;2;restless sleep
augmentin;7;4;4;migraine in assoc /w upper resp infection
lexapro;9;4;3;depression & anxiety
effexor;9;4;1;depression
cipro;1;3;0;urinary tract infection
prednisone;3;4;2;severe recurrent sinus infections
lipitor;10;4;4;high cholestrol
lexapro;10;3;4;depression
methotrexate;8;4;3;rheumatoid arthritis
tamiflu;9;3;4;swine flu like illness in a pandemic
inspra;2;3;1;conn's syndrome
flonase;8;3;4;chronic sinusitis
sulfasalazine;10;4;4;psoriatic arthritis
evista;1;0;1;osteopenia
concerta;3;1;1;add - mild depression
carac;7;3;4;actinic keratoses
zoloft;4;1;1;depression
minocycline;1;0;1;acne
prempro;10;4;4;hot flashes, depression
prilosec;3;2;0;acid reflux
xanax;9;4;3;difficulty sleeping
imuran;7;3;3;lupus
diflucan;9;3;4;vaginal yeast infection
crestor;1;2;1;high cholesterol
avita;3;1;2;wrinkles
prinivil;1;2;1;blood pressure
spironolactone;6;2;4;acne and water retention
byetta;10;4;3;type ii diabetes mellitus
lexapro;4;2;2;depression, anxiety
nuvaring;3;4;2;birth control
vigamox;10;4;4;conjunctivitus
zyprexa;10;4;4;depression
maxalt;10;4;3;migraines
avita;7;2;3;acne
effexor;10;3;4;anxiety disorder
cipro;10;4;3;rare kidney infection
retin-a;10;3;4;acne and anti age benefits
neurontin;10;4;3;pain relief for arthritis and sleep aid
vagifem;10;4;4;chronic urinary and yeast infections due to drynes
diltiazem;1;1;1;atrial fib
tri-luma;3;1;2;skin spots
allegra;10;4;4;allergies
imodium;6;2;4;diarrhea
synthroid;10;3;4;hypothyroid
claritin;1;0;0;allergy
prograf;10;4;3;anti-rejection
periostat;8;3;2;rosacea
zovirax;10;4;4;genital herpes
macrobid;1;1;0;uti
seroquel;10;4;3;bipolar disorder
wellbutrin;6;3;2;depression
carac;10;4;2;pre cancer cells
claritin;5;2;2;chronic sinus congestion
actonel;7;2;2;osteopenia
exelon;10;4;4;memory
ambien;3;3;1;insomnia
remicade;8;4;2;crohn's disease
benicar;10;4;4;hypertension
macrobid;2;0;1;uti
zocor;8;3;4;high cholesterol
claripel-cream;1;0;2;hyperpigmentation
adipex-p;10;4;4;weight loss
zoloft;10;3;4;depression
divigel;10;4;4;vaginal dryness, night sweats
dostinex;7;3;2;microprolactinoma (benign pituitary tumour)
spironolactone;7;3;3;adult moderate hormone related acne
estrace;9;4;4;surgical menopause
effexor-xr;2;0;1;depression
asacol;9;3;3;ulcerative colitis
wellbutrin;9;4;4;depression
aciphex;10;4;4;acid reflux
imitrex;8;4;3;migraine
wellbutrin;4;1;2;anxiety
lexapro;7;3;3;depression
amoxil;1;0;1;glandular fever
prinivil;8;4;3;hypertension
propecia;10;4;4;hair loss
oxycodone;9;4;3;teeth extractions
renova;7;2;4;wrinkles
lexapro;10;4;4;panic attacks
lexapro;10;4;4;anxiety
delestrogen;10;4;4;menopause/hysterectomy
atenolol;10;4;3;mitral  valve prolapse
inderal;9;4;4;severe performance anxiety
elidel;7;3;4;skin rash
retin-a-micro;3;0;3;acne
clobex;10;4;4;hand dermatitis
fluvoxamine;5;0;3;anxiety/worry
avita;8;3;3;improvement of skin appearance, very very mild acn
synthroid;8;3;3;hypothyroidism
suboxone;10;4;3;opiate/heroin addiction
prilosec;10;4;4;acid reflux
lexapro;8;4;3;depression
motrin;9;3;3;ankylosing spondalytis
pristiq;10;4;4;depression
seasonique;4;3;2;preventing pregnancy
flonase;10;4;4;allergies
oracea;4;1;4;rosacea
allegra;8;3;3;allergies
zegerid;8;3;4;acid reflux
sotret;8;4;1;acne
doxycycline;8;4;1;acne
fluconazole;2;0;4;yeast infection
skelaxin;1;0;4;neck and hip pain
noroxin;10;4;4;urinary tract infection
zoloft;6;2;4;clinical depression
valtrex;9;4;3;genital herpes
ambien;4;3;1;sleep
prempro;9;4;3;menopause
zoloft;10;3;4;anxiety
doxycycline;7;2;3;rosacea
zyrtec;10;3;4;environmental allergies
aldara;6;2;2;scar revision
seroquel;7;4;3;bipolar mania
zomig;10;4;4;migraine
imitrex;10;4;3;migrain
dexedrine;2;0;2;add
imitrex;9;4;3;migraine headaches
adderall-xr;9;3;4;attention deficit disorder (inattentive type)
zocor;9;4;4;high cholesterol
zyban;10;4;3;smoking cessation
lamictal;8;3;3;bipolar
neurontin;2;0;2;chronic pelvic pain
synthroid;10;4;4;underactive thyroid
zyban;8;3;3;smoking cessation
flonase;8;3;3;sinus allergy
flexeril;9;3;3;inflamed neck muscles
zoloft;7;3;2;depression
lipitor;10;4;4;high cholestral
provigil;8;3;3;daytime drowsiness
allegra;10;4;4;poison ivy
propecia;8;3;4;hair loss
vicodin;7;4;2;molar extraction
spironolactone;6;3;2;hormonal acne
wellbutrin-sr;10;4;4;depression
polymyxin-b;10;3;4;conjunctivitis
metrogel;7;3;4;rosecea on the face
benicar-hct;9;3;4;high blood pressue --  diuretic
prozac;10;4;3;depression
prednisone;3;3;1;pneumonia with associated cough
renova;10;4;3;facial skin
dispermox;1;0;1;sinus infection
vicodin;4;2;1;surgery recovery
actonel;1;0;1;osteoporosis
propecia;1;0;1;hair loss
seasonique;9;4;2;birth control
nuvaring;1;4;1;birth control
prilosec;9;3;3;acid reflux
retin-a;8;3;2;skin agind, sun damage
effexor;1;0;0;depression
adipex-p;8;3;3;weight
seasonique;2;4;1;birth control
cymbalta;7;3;4;depression
prempro;10;4;4;menopause
proloprim;9;4;3;acne
augmentin;8;3;3;earache/sinusitis
serzone;3;1;1;depression
humira;9;4;3;rheumatoid arthritis
accolate;1;0;4;capsuar contracture of breast implant
cardura;8;3;4;problems with my prostate
paxil-cr;4;2;2;depression
lumigan;10;4;3;o increase length and fullness of eyelashes
meridia;7;4;3;obesity
oxycodone;9;4;2;scoliosis
tetracycline;5;3;2;acne
lexapro;8;3;4;depression
elavil;10;4;3;insomnia
nuvaring;3;4;0;i kept getting pregnant. no more stairs.... please
paxil;8;3;2;anxiety
prozac;7;3;3;depression
retin-a-micro;10;4;3;wrinkles
crestor;10;4;4;high cholesterol
progesterone;10;4;4;severe stomach pains, dizziness
tazorac;6;2;2;facial acne
flonase;7;3;4;runny nose/ allergies
allegra;8;3;4;allergies
coreg;10;4;4;heart
biaxin;8;4;2;sinus infection
retin-a;10;4;3;acne
dapsone;8;4;2;dermatitis herpetiformis
armour-thyroid;8;3;2;thyroid goiter
renova;10;3;4;aging skin, few break-outs, hyperpigmentation
lamisil;10;4;4;athletes foot
wellbutrin;8;3;3;depression
nuvaring;7;3;3;acne and birth control
augmentin;6;4;3;klebsiella pneumonia infection
oxycodone;9;4;3;chronic pain from degenerative lumbar disc disease
cymbalta;8;3;3;fibromyalgia
ativan;9;3;4;sleep disorder/anxiety
adderall;5;3;2;depression
prednisolone;1;4;1;r/a
